index,ground_truth,nominal_pred,nominal_conf,guardian_pred,guardian_conf,disagreement,flagged,reason
0,0,1,0.9999999,0,0.5000133,1,0,clean
1,0,1,0.99999964,1,0.5001263,0,0,clean
2,0,1,0.9999999,1,0.50007975,0,0,clean
3,1,1,0.8810309,0,0.5023128,1,0,clean
4,0,1,0.99999964,0,0.5000624,1,0,clean
5,0,1,0.99999976,1,0.5001155,0,0,clean
6,0,0,0.99995756,1,0.50308377,1,0,clean
7,0,0,0.9999354,1,0.503078,1,0,clean
8,0,1,0.99999976,0,0.50005704,1,0,clean
9,0,1,0.99999964,0,0.50006497,1,0,clean
10,1,0,0.9998504,1,0.5030868,1,0,clean
11,0,1,1.0,0,0.5000428,1,0,clean
12,1,1,1.0,1,0.50550795,0,0,clean
13,0,1,0.99999964,0,0.50005615,1,0,clean
14,0,1,0.9999999,1,0.5000039,0,0,clean
15,0,1,0.99999964,0,0.5000586,1,0,clean
16,0,1,0.99999976,0,0.5000667,1,0,clean
17,0,1,0.99999976,0,0.5000549,1,0,clean
18,0,1,1.0,1,0.5055196,0,0,clean
19,0,1,1.0,1,0.5000302,0,0,clean
20,0,1,0.9999999,0,0.50004613,1,0,clean
21,0,1,1.0,1,0.5055628,0,0,clean
22,0,1,0.9999999,1,0.50000346,0,0,clean
23,1,0,0.99970835,1,0.5030571,1,0,clean
24,1,0,0.9994019,1,0.5030783,1,0,clean
25,1,1,1.0,0,0.50001365,1,0,clean
26,0,1,0.9999999,1,0.5054592,0,0,clean
27,0,1,0.9999999,1,0.5054554,0,0,clean
28,1,0,0.9995522,1,0.50305533,1,0,clean
29,0,1,0.9999999,1,0.5000177,0,0,clean
30,0,1,0.99999964,1,0.50002134,0,0,clean
31,1,0,0.9999225,0,0.5025172,0,0,clean
32,0,1,0.9999999,0,0.5000299,1,0,clean
33,0,1,1.0,1,0.50006104,0,0,clean
34,0,1,1.0,1,0.5000656,0,0,clean
35,0,1,0.9999999,1,0.50543445,0,0,clean
36,0,1,0.99999964,0,0.5000721,1,0,clean
37,0,1,0.9999999,0,0.50000536,1,0,clean
38,0,1,0.99999964,0,0.5000446,1,0,clean
39,1,0,0.99997854,1,0.503078,1,0,clean
40,0,1,1.0,1,0.5055147,0,0,clean
41,0,1,0.99999964,0,0.5000759,1,0,clean
42,0,1,1.0,1,0.5055111,0,0,clean
43,0,0,0.99993813,1,0.5030025,1,0,clean
44,0,1,0.99999976,0,0.5000149,1,0,clean
45,0,0,0.99990296,1,0.50294703,1,0,clean
46,0,1,1.0,1,0.5054501,0,0,clean
47,0,1,0.9999999,0,0.5000034,1,0,clean
48,0,1,0.99999964,0,0.5000595,1,0,clean
49,0,1,0.99999964,0,0.5000549,1,0,clean
50,1,0,0.9996513,1,0.5030693,1,0,clean
51,1,0,0.99992895,1,0.50296533,1,0,clean
52,0,1,1.0,1,0.5000312,0,0,clean
53,0,1,0.9999999,0,0.500023,1,0,clean
54,0,1,0.99999976,1,0.50001776,0,0,clean
55,0,1,0.99999964,0,0.50007945,1,0,clean
56,0,1,0.99999976,1,0.50564593,0,0,clean
57,0,0,0.9999565,1,0.5029677,1,0,clean
58,1,0,0.9998708,1,0.5030868,1,0,clean
59,1,0,0.9986255,0,0.5024524,0,0,clean
60,0,1,0.9999999,0,0.5000318,1,0,clean
61,0,1,1.0,1,0.5054673,0,0,clean
62,1,0,0.99975663,0,0.5025109,0,0,clean
63,0,1,0.99999964,0,0.50005895,1,0,clean
64,1,0,0.99913824,1,0.50307316,1,0,clean
65,0,1,1.0,1,0.5055807,0,0,clean
66,0,1,1.0,1,0.505563,0,0,clean
67,1,0,0.999984,1,0.5030892,1,0,clean
68,0,1,0.99999964,0,0.5000532,1,0,clean
69,0,1,1.0,1,0.50547063,0,0,clean
70,0,1,0.99999964,0,0.50004303,1,0,clean
71,0,1,1.0,1,0.50555396,0,0,clean
72,0,1,0.99999964,0,0.50007755,1,0,clean
73,0,1,1.0,1,0.5054636,0,0,clean
74,1,0,0.99947935,1,0.5030776,1,0,clean
75,0,1,0.9999999,0,0.5000269,1,0,clean
76,0,1,0.9999999,0,0.50000495,1,0,clean
77,0,1,1.0,1,0.50557375,0,0,clean
78,0,1,1.0,1,0.50546926,0,0,clean
79,0,1,0.9999999,1,0.5054618,0,0,clean
80,0,1,0.9999999,0,0.50003093,1,0,clean
81,1,1,1.0,1,0.505461,0,0,clean
82,0,1,0.99999964,0,0.500078,1,0,clean
83,0,1,1.0,1,0.50544596,0,0,clean
84,1,0,0.9999521,1,0.5030683,1,0,clean
85,0,1,1.0,1,0.505512,0,0,clean
86,1,1,0.9999999,0,0.5000281,1,0,clean
87,0,1,1.0,1,0.5000654,0,0,clean
88,0,0,0.99998176,0,0.5023772,0,0,clean
89,0,1,0.9999999,0,0.5000252,1,0,clean
90,0,1,1.0,1,0.5055208,0,0,clean
91,0,1,0.99999964,0,0.5000725,1,0,clean
92,0,1,0.9999999,0,0.50002015,1,0,clean
93,0,0,0.9999256,1,0.5030035,1,0,clean
94,1,0,0.99996257,0,0.5025198,0,0,clean
95,0,1,1.0,1,0.50001216,0,0,clean
96,0,1,1.0,1,0.50009584,0,0,clean
97,0,1,0.99999976,1,0.50001156,0,0,clean
98,0,1,0.99999964,0,0.5000582,1,0,clean
99,0,1,0.9999999,0,0.5000093,1,0,clean
100,1,0,0.9997762,1,0.5030714,1,0,clean
101,0,1,0.9999999,0,0.50003,1,0,clean
102,0,1,1.0,1,0.5055443,0,0,clean
103,0,1,0.99999964,0,0.50004435,1,0,clean
104,0,1,1.0,1,0.50555235,0,0,clean
